"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSDARG00000030872",44.4295298173529,3.11829614453168,0.657912947678955,4.73967894313783,2.14057121710532e-06,0.0438207535939292
"ENSDARG00000052207",211.986870299844,2.05077921597266,0.443037224597341,4.62890949589288,3.67596368866415e-06,0.0438207535939292
"ENSDARG00000055278",82.3659537788026,2.30455955558378,0.504108841813378,4.57155154687197,4.84126161498893e-06,0.0438207535939292
"ENSDARG00000099351",255.046580199039,1.43638885662379,0.317655960956529,4.52183819342951,6.13049154923464e-06,0.0438207535939292
