"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSDARG00000055752",165.771237779125,2.44858350338807,0.329247252293325,7.43691401016353,1.03064591053748e-13,2.93445503648232e-09
"ENSDARG00000093304",112.853819440623,1.38633441756432,0.269848198813908,5.1374603338389,2.78476222388608e-07,0.00198219375096211
"ENSDARG00000093936",248.675653010241,2.15966119913734,0.313232353274435,6.89475776228381,5.39566665015166e-12,7.68127104315591e-08
"ENSDARG00000103199",354.23789667978,1.6667128910267,0.324377258199939,5.13819279525253,2.77393212333718e-07,0.00198219375096211
